0.0557686,0.998444,0,0,-0.998444,0.0557686,0,0,0,0,1,0,0,0,0,1|3.41247e-06,-3.81624e-06,1,0,-0.0557686,-0.998444,-3.61999e-06,0,0.998444,-0.0557686,-3.61999e-06,0,0,0,0,1|3.41247e-06,-3.81624e-06,1,0,0.998444,-0.055765,-3.61998e-06,0,0.055765,0.998444,3.62e-06,0,0,0,0,1|3.41247e-06,-3.81624e-06,1,0,0.998444,-0.055765,-3.61998e-06,0,0.055765,0.998444,3.62e-06,0,0.0139412,0.249611,9.05001e-07,1|3.41247e-06,-3.81624e-06,1,0,0.0557614,0.998444,3.62002e-06,0,-0.998444,0.0557614,3.61996e-06,0,0.0139412,0.249611,9.05001e-07,1|3.41247e-06,-3.81624e-06,1,0,0.0557614,0.998444,3.62002e-06,0,-0.998444,0.0557614,3.61996e-06,0,-0.23567,0.263551,1.80999e-06,1||
-0.948739,0.316062,0,0,-0.316062,-0.948739,0,0,0,0,1,0,0,0,0,1|4.57856e-06,2.29028e-06,1,0,0.948739,-0.316062,-3.61999e-06,0,0.316062,0.948739,-3.61999e-06,0,0,0,0,1|4.57856e-06,2.29028e-06,1,0,0.316058,0.94874,-3.61998e-06,0,-0.94874,0.316058,3.62e-06,0,0,0,0,1|4.57856e-06,2.29028e-06,1,0,0.316058,0.94874,-3.61998e-06,0,-0.94874,0.316058,3.62e-06,0,-0.237185,0.0790146,9.05001e-07,1|4.57856e-06,2.29028e-06,1,0,-0.948741,0.316055,3.62002e-06,0,-0.316055,-0.948741,3.61996e-06,0,-0.237185,0.0790146,9.05001e-07,1|4.57856e-06,2.29028e-06,1,0,-0.948741,0.316055,3.62002e-06,0,-0.316055,-0.948741,3.61996e-06,0,-0.316199,-0.158171,1.80999e-06,1||
-0.84542,-0.534102,0,0,0.534102,-0.84542,0,0,0,0,1,0,0,0,0,1|1.12697e-06,4.99386e-06,1,0,0.84542,0.534102,-3.61999e-06,0,-0.534102,0.84542,-3.61999e-06,0,0,0,0,1|1.12697e-06,4.99385e-06,1,0,-0.534105,0.845418,-3.61998e-06,0,-0.845418,-0.534105,3.62e-06,0,0,0,0,1|1.12697e-06,4.99385e-06,1,0,-0.534105,0.845418,-3.61998e-06,0,-0.845418,-0.534105,3.62e-06,0,-0.211355,-0.133526,9.05001e-07,1|1.12697e-06,4.99385e-06,1,0,-0.845416,-0.534108,3.62002e-06,0,0.534108,-0.845416,3.61996e-06,0,-0.211355,-0.133526,9.05001e-07,1|1.12697e-06,4.99385e-06,1,0,-0.845416,-0.534108,3.62002e-06,0,0.534108,-0.845416,3.61996e-06,0,-0.0778277,-0.34488,1.80999e-06,1||
0.82358,-0.567201,0,0,0.567201,0.82358,0,0,0,0,1,0,0,0,0,1|-5.03461e-06,-9.28089e-07,1,0,-0.823579,0.567201,-3.61999e-06,0,-0.567201,-0.823579,-3.61999e-06,0,0,0,0,1|-5.03461e-06,-9.28089e-07,1,0,-0.567198,-0.823582,-3.61998e-06,0,0.823582,-0.567198,3.62e-06,0,0,0,0,1|-5.03461e-06,-9.28089e-07,1,0,-0.567198,-0.823582,-3.61998e-06,0,0.823582,-0.567198,3.62e-06,0,0.205895,-0.141799,9.05001e-07,1|-5.03461e-06,-9.28089e-07,1,0,0.823584,-0.567195,3.62002e-06,0,0.567195,0.823584,3.61996e-06,0,0.205895,-0.141799,9.05001e-07,1|-5.03461e-06,-9.28089e-07,1,0,0.823584,-0.567195,3.62002e-06,0,0.567195,0.823584,3.61996e-06,0,0.347694,0.0640965,1.80999e-06,1||
0.424907,0.905237,0,0,-0.905237,0.424907,0,0,0,0,1,0,0,0,0,1|1.73879e-06,-4.81511e-06,1,0,-0.424907,-0.905237,-3.61999e-06,0,0.905237,-0.424907,-3.61999e-06,0,0,0,0,1|1.73879e-06,-4.81511e-06,1,0,0.905238,-0.424904,-3.61998e-06,0,0.424904,0.905238,3.62e-06,0,0,0,0,1|1.73879e-06,-4.81511e-06,1,0,0.905238,-0.424904,-3.61998e-06,0,0.424904,0.905238,3.62e-06,0,0.106226,0.22631,9.05001e-07,1|1.73879e-06,-4.81511e-06,1,0,0.424901,0.90524,3.62002e-06,0,-0.90524,0.424901,3.61996e-06,0,0.106226,0.22631,9.05001e-07,1|1.73879e-06,-4.81511e-06,1,0,0.424901,0.90524,3.62002e-06,0,-0.90524,0.424901,3.61996e-06,0,-0.120084,0.332535,1.80999e-06,1||
-0.882511,0.470292,0,0,-0.470292,-0.882511,0,0,0,0,1,0,0,0,0,1|4.89713e-06,1.49223e-06,1,0,0.882511,-0.470292,-3.61999e-06,0,0.470292,0.882511,-3.61999e-06,0,0,0,0,1|4.89713e-06,1.49223e-06,1,0,0.470288,0.882513,-3.61998e-06,0,-0.882513,0.470288,3.62e-06,0,0,0,0,1|4.89713e-06,1.49223e-06,1,0,0.470288,0.882513,-3.61998e-06,0,-0.882513,0.470288,3.62e-06,0,-0.220628,0.117572,9.05001e-07,1|4.89713e-06,1.49223e-06,1,0,-0.882514,0.470285,3.62002e-06,0,-0.470285,-0.882514,3.61996e-06,0,-0.220628,0.117572,9.05001e-07,1|4.89713e-06,1.49223e-06,1,0,-0.882514,0.470285,3.62002e-06,0,-0.470285,-0.882514,3.61996e-06,0,-0.338199,-0.103057,1.80999e-06,1||
-0.247768,-0.968819,0,0,0.968819,-0.247768,0,0,0,0,1,0,0,0,0,1|-2.6102e-06,4.40403e-06,1,0,0.247768,0.968819,-3.61999e-06,0,-0.968819,0.247768,-3.61999e-06,0,0,0,0,1|-2.6102e-06,4.40403e-06,1,0,-0.96882,0.247765,-3.61998e-06,0,-0.247765,-0.96882,3.62e-06,0,0,0,0,1|-2.6102e-06,4.40403e-06,1,0,-0.96882,0.247765,-3.61998e-06,0,-0.247765,-0.96882,3.62e-06,0,-0.0619412,-0.242205,9.05001e-07,1|-2.6102e-06,4.40403e-06,1,0,-0.247761,-0.968821,3.62002e-06,0,0.968821,-0.247761,3.61996e-06,0,-0.0619412,-0.242205,9.05001e-07,1|-2.6102e-06,4.40403e-06,1,0,-0.247761,-0.968821,3.62002e-06,0,0.968821,-0.247761,3.61996e-06,0,0.180264,-0.304145,1.80999e-06,1||
0.999347,-0.0361236,0,0,0.0361236,0.999347,0,0,0,0,1,0,0,0,0,1|-3.74839e-06,-3.48686e-06,1,0,-0.999347,0.0361236,-3.61999e-06,0,-0.0361236,-0.999347,-3.61999e-06,0,0,0,0,1|-3.74839e-06,-3.48686e-06,1,0,-0.03612,-0.999347,-3.61998e-06,0,0.999347,-0.03612,3.62e-06,0,0,0,0,1|-3.74839e-06,-3.48686e-06,1,0,-0.03612,-0.999347,-3.61998e-06,0,0.999347,-0.03612,3.62e-06,0,0.249837,-0.00903001,9.05001e-07,1|-3.74839e-06,-3.48686e-06,1,0,0.999348,-0.0361164,3.62002e-06,0,0.0361164,0.999348,3.61996e-06,0,0.249837,-0.00903001,9.05001e-07,1|-3.74839e-06,-3.48686e-06,1,0,0.999348,-0.0361164,3.62002e-06,0,0.0361164,0.999348,3.61996e-06,0,0.258866,0.240807,1.80999e-06,1||
-0.142624,0.989777,0,0,-0.989777,-0.142624,0,0,0,0,1,0,0,0,0,1|4.09928e-06,-3.06668e-06,1,0,0.142624,-0.989777,-3.61999e-06,0,0.989777,0.142624,-3.61999e-06,0,0,0,0,1|4.09928e-06,-3.06668e-06,1,0,0.989776,0.142628,-3.61998e-06,0,-0.142628,0.989776,3.62e-06,0,0,0,0,1|4.09928e-06,-3.06668e-06,1,0,0.989776,0.142628,-3.61998e-06,0,-0.142628,0.989776,3.62e-06,0,-0.0356569,0.247444,9.05001e-07,1|4.09928e-06,-3.06668e-06,1,0,-0.142631,0.989776,3.62002e-06,0,-0.989776,-0.142631,3.61996e-06,0,-0.0356569,0.247444,9.05001e-07,1|4.09928e-06,-3.06668e-06,1,0,-0.142631,0.989776,3.62002e-06,0,-0.989776,-0.142631,3.61996e-06,0,-0.283101,0.211786,1.80999e-06,1||
-0.950065,-0.312051,0,0,0.312051,-0.950065,0,0,0,0,1,0,0,0,0,1|2.30961e-06,4.56885e-06,1,0,0.950065,0.312051,-3.61999e-06,0,-0.312051,0.950065,-3.61999e-06,0,0,0,0,1|2.30961e-06,4.56885e-06,1,0,-0.312054,0.950064,-3.61998e-06,0,-0.950064,-0.312054,3.62e-06,0,0,0,0,1|2.30961e-06,4.56885e-06,1,0,-0.312054,0.950064,-3.61998e-06,0,-0.950064,-0.312054,3.62e-06,0,-0.237516,-0.0780136,9.05001e-07,1|2.30961e-06,4.56885e-06,1,0,-0.950063,-0.312058,3.62002e-06,0,0.312058,-0.950063,3.61996e-06,0,-0.237516,-0.0780136,9.05001e-07,1|2.30961e-06,4.56885e-06,1,0,-0.950063,-0.312058,3.62002e-06,0,0.312058,-0.950063,3.61996e-06,0,-0.159502,-0.315529,1.80999e-06,1||
